,ID,Date,Type,Assets,Short-term liabilities,Long-term liabilities,Liabilities,Equity,Name,DP,Month
59,2,2016-12-31,A,830674000000.0,579998000000.0,88999157180.0,668998000000.0,161677000000.0,万科A,624498000000.0,12
60,2,2017-01-01,A,830674000000.0,579998000000.0,88999157180.0,668998000000.0,161677000000.0,万科A,624498000000.0,01
61,2,2017-03-31,A,886754000000.0,627634000000.0,97133495016.0,724767000000.0,161986000000.0,万科A,676201000000.0,03
62,2,2017-06-30,A,929266000000.0,676124000000.0,91984578373.0,768108000000.0,161158000000.0,万科A,722116000000.0,06
63,2,2017-09-30,A,1018380000000.0,743441000000.0,107216000000.0,850657000000.0,167725000000.0,万科A,797049000000.0,09
64,2,2017-12-31,A,1165350000000.0,847355000000.0,131318000000.0,978673000000.0,186674000000.0,万科A,913014000000.0,12
65,2,2018-01-01,A,1165350000000.0,847355000000.0,131318000000.0,978673000000.0,186674000000.0,万科A,913014000000.0,01
66,2,2018-03-31,A,1224260000000.0,880954000000.0,147974000000.0,1028930000000.0,195337000000.0,万科A,954941000000.0,03
67,2,2018-06-30,A,1345150000000.0,969762000000.0,169606000000.0,1139370000000.0,205784000000.0,万科A,1054560000000.0,06
68,2,2018-09-30,A,1432220000000.0,1044140000000.0,172194000000.0,1216330000000.0,215892000000.0,万科A,1130230000000.0,09
69,2,2018-12-31,A,1528580000000.0,1121910000000.0,171045000000.0,1292960000000.0,235621000000.0,万科A,1207440000000.0,12
70,2,2019-01-01,A,1528580000000.0,1121910000000.0,171045000000.0,1292960000000.0,235621000000.0,万科A,1207440000000.0,01
71,2,2019-03-31,A,1551170000000.0,1115030000000.0,199948000000.0,1314980000000.0,236189000000.0,万科A,1215000000000.0,03
72,2,2019-06-30,A,1577060000000.0,1161740000000.0,182847000000.0,1344590000000.0,232468000000.0,万科A,1253170000000.0,06
73,2,2019-09-30,A,1638760000000.0,1202300000000.0,191612000000.0,1393910000000.0,244852000000.0,万科A,1298110000000.0,09
74,2,2019-12-31,A,1729930000000.0,1272610000000.0,186740000000.0,1459350000000.0,270579000000.0,万科A,1365980000000.0,12
75,2,2020-01-01,A,1729930000000.0,1272610000000.0,186740000000.0,1459350000000.0,270579000000.0,万科A,1365980000000.0,01
76,2,2020-03-31,A,1739790000000.0,1265380000000.0,200299000000.0,1465680000000.0,274111000000.0,万科A,1365530000000.0,03
77,2,2020-06-30,A,1806190000000.0,1315940000000.0,198991000000.0,1514930000000.0,291256000000.0,万科A,1415430000000.0,06
78,2,2020-09-30,A,1814470000000.0,1317540000000.0,194284000000.0,1511820000000.0,302642000000.0,万科A,1414680000000.0,09
79,2,2020-12-31,A,1869180000000.0,1317490000000.0,201840000000.0,1519330000000.0,349844000000.0,万科A,1418410000000.0,12
80,2,2021-01-01,A,1869180000000.0,1317490000000.0,201840000000.0,1519330000000.0,349844000000.0,万科A,1418410000000.0,01
81,2,2021-03-31,A,1907860000000.0,1346920000000.0,205508000000.0,1552430000000.0,355432000000.0,万科A,1449670000000.0,03
82,2,2021-06-30,A,1955050000000.0,1380850000000.0,210473000000.0,1591330000000.0,363721000000.0,万科A,1486090000000.0,06
83,2,2021-09-30,A,1967400000000.0,1377670000000.0,214807000000.0,1592470000000.0,374930000000.0,万科A,1485070000000.0,09
84,2,2021-12-31,A,1938640000000.0,1311450000000.0,234419000000.0,1545870000000.0,392773000000.0,万科A,1428660000000.0,12
85,6,2005-01-01,A,4020543825.0,2879859012.0,10907992.59,2890767004.0,1129776821.0,深振业A,2885313008.0,01
86,6,2005-03-31,A,3954592116.0,2454882314.0,361163197.0,2816045511.0,1138546605.0,深振业A,2635463912.0,03
87,6,2005-06-30,A,4763244815.0,3317179082.0,361598675.5,3678777757.0,1084467058.0,深振业A,3497978420.0,06
88,6,2005-09-30,A,2621265865.0,1218869769.0,357339290.0,1576209059.0,1045056806.0,深振业A,1397539414.0,09
89,6,2005-12-31,A,2553071988.0,1066037358.0,357502925.5,1423540283.0,1129531705.0,深振业A,1244788821.0,12
